5А;5Б;5В;5Г;6А;6Б;6В;7А;7Б;7В;8А;8Б;8В;9А;9Б;9В;10А;10Б;11А;11Б
Биология;Биология;Труд;Математика;Русский язык;История;История;Музыка;Музыка;Обществознание;Математика;Физическая культура;Русский язык;Английский язык 2 гр./Информатика 1 гр.;Математика;Химия;Математика;Биология ест./;Информатика 1 гр./;Обществознание ест./;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Математика;Русский язык;Труд;Английский язык 1 гр./Английский язык 2 гр. (каб. 34);История;Музыка;Математика;География;История;Музыка;История;Физическая культура;Математика;Физическая культура;Биология эк./Информатика ест.;География;Английский язык 1 гр./Английский язык 2 гр. (каб. 34);Английский язык эк. (каб. 28)/Биология ест.;ОБЖ;Физическая культура;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Математика;Русский язык;Английский язык 1 гр./Английский язык 2 гр. (каб. 26);Труд;Музыка;География;Музыка;Биология;Математика;Родная русская литература;Физическая культура;Русский язык;Математика;Математика;Английский язык ест./Информатика эк.;Родная русская литература;Биология;Математика;Обществознание;Английский язык эк. (каб. 27)/Химия ест.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
История;История;История;Труд;Математика;;География;Математика;География;Английский язык 1 гр./Английский язык 2 гр. (каб. 34);Физическая культура;Математика;История;Математика;Физическая культура;Математика;Физика;Родная русская литература;Физическая культура;Информатика эк./Химия ест.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Математика;;;Английский язык 1 гр./Английский язык 2 гр. (каб. 48);Обществознание;;Русский язык;Русский язык;;Русский язык;История;Физическая культура;Английский язык 1 гр./Информатика 2 гр.;Химия эк. (каб. 35)/Биология ест.;Биология;Физика;ОБЖ;Литература;Информатика ест./Химия эк.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Физическая культура;;Русский язык;---;География;Английский язык 1 гр./Английский язык 2 гр. (каб. 39);Русский язык;Литература;;Труд;Информатика 1 гр./;Математика;Физическая культура;Английский язык 1 гр./;Биология ест./;Физическая культура;Проект;Английский язык ест./Английский язык эк. (каб. 26);Английский язык;Родной русский яхык;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Русский язык;Английский язык 1 гр./Английский язык 2 гр. (каб. 35);Литература;Математика;;География;Русский язык;;ИЗО;Труд;;Химия эк.;;;;Английский язык;;Физическая культура;Физика;Русский язык;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ОДНКНР;Физкультура;Математика;Русский язык;География;Физкультура;Английский язык 1 гр./Английский язык 2 гр. (каб. 25);Литература;География;Русский язык;---;;Физика (каб. 39);---;Русский язык;;Информатика 1 гр./;;Информатика 1 гр./;Английский язык эк./;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
География;География;ИЗО;Литература;Обществознание;Физкультура;Литература;ИЗО;Английский язык 1 гр./Информатика 2 гр.;Физика;Английский язык 1 гр./Информатика 2 гр.;Английский язык ест./Химия эк. (каб. 23);Математика;Русский язык;Шахматы;Английский язык;Английский язык 2 гр./Информатика 1 гр.;---;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Русский язык;Русский язык;Английский язык 1 гр./Английский язык 2 гр. (каб. 48);География;ИЗО;ИЗО;Обществознание;Физическая культура;Родной русский язык;География;Математика;Физика;Труд;Русский язык;Английский язык эк./Химия ест. (каб. 35);Химия;Астрономия;Математика;Математика;Проект;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Математика;Математика;География;ОДНКНР;История;;Физкультура;Математика;Литература;Биология;Физика;Литература;Литература;Математика;Русский язык;Математика;Физическая культура;Математика;Математика;Литература;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Английский язык 1 гр./;Литература;;;/Английский язык 2 гр.;Физкультура;Физкультура;Физика;Математика;Родной русский язык;Литература;География;ОБЖ;Химия;Математика;Информатика;Математика;Английский язык эк. (каб. 13)/Химия ест.;Физическая культура;Математика;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Математика;Русский язык;;История;;Английский язык 1 гр./Английский язык 2 гр. (каб. 28);Английский язык 2 гр./;;География;Математика;Английский язык 1 гр./Английский язык 2 гр. (каб. 24);Родной русский язык;Физика;Родной русский язык;Информатика 2 гр./;Иформатика эк./Химия ест.;Английский язык;Математика;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Русский язык;Физика;ОДНКНР;Литература;---;Русский язык;Русский язык;География;;Английский язык 2 гр./Информатика 1 гр.;ИЗО;ОБЖ;;Физика;Химия эк./;Русский язык;Информатика 2 гр./;Астрономия;Проект;Физика;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Литература;Математика;Русский язык;История;Литература;Литература;Математика;;Биология;Английский язык 1 гр./Информатика 2 гр.;;;Биология;;;Русский язык;;Физика;Информатика 2 гр./;Химия ест./;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Математика;Русский язык;Литература;Математика;Математика;Математика;География;Родной русский язык;Математика;Биология;Математика;Английский язык ест./;Химия;Математика;История;;Физика;;Информатика 2 гр./;Химия ест./;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
История;Литература;Математика;Русский язык;Английский язык 1 гр./Английский язык 2 гр. (каб. 33);Русский язык;Физика;Математика;Английский язык 1 гр./Английский язык 2 гр. (каб. 31);Математика;Английский язык 1 гр./Английский язык 2 гр. (каб. 46);География;Обществознание;Биология;Физика;ОДНКНР;Физика;Литература;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Физика;ОДНКНР;;Физика;Русский язык;Английский язык 1 гр./Английский язык 2 гр. (каб. 24);История;Родная русская литература;Физическая культура;Русский язык;Математика;Биология ест. (каб. 37)/Английский язык эк.;Математика;История;Физическая культура;История;Физическая культура;Физическая культура;Математика;История;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Английский язык 2 гр./;Английский язык 1 гр./;---;;;;Английский язык 1 гр./;Обществознание;Физическая культура;Физическая культура;Биология;Обществознание эк./Химия ест. (каб. 21);Английский язык 1 гр./Английский язык 2 гр. (каб. 32);Родная русская литература;ОДНКНР;Математика;Математика;Математика;Математика;Физическая культура;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;---;Музыка;---;Литература;;Английский язык 1 гр./Английский язык 2 гр. (каб. 33);Обществознание;Физическая культура;География;Обществознание эк./Химия ест. (каб. 21);География;Литература;Математика;Физическая культура;Математика;Проект;Физика;Математика;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ИЗО;История;---;Физкультура;Математика;Русский язык;Математика;Информатика 1 гр./;История;;Химия;Математика;;Физическая культура;Литература;Биология;История;История;Английский язык;Математика;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Музыка;ИЗО;История;ИЗО;Физкультура;Математика;ИЗО;;;---;ОБЖ;Биология ест.;---;ОДНКНР;Английский язык эк./Химия ест. (каб. 23);Физика;Литература;Математика;Физика;ОБЖ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Музыка;Физкультура;;Литература;;Физкультура;Французский язык 1 гр. (каб. 21)/Французский язык 2 гр.;Математика;Французский язык 1 гр. (каб. 21)/Французский язык 2 гр.;;;---;;;Математика;;Иформатика ест./Обществознание эк.;Русский язык;Право эк./Английский язык ест. (каб. 21);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Музыка;;Русский язык;;;История;Математика;История;---;---;---;---;---;;Информатика 2 гр./;;Родной русский язык;Право эк./;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Русский язык;;;Математика;Французский язык 1 гр. (каб. 21)/Французский язык 2 гр.;ИЗО;---;Математика;Математика;География;---;---;Информатика 2 гр./;Экономика эк./Биология ест. (каб. 28);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;Математика;---;Финансовая грамотность эк./Биология ест. (каб. 28*;Музыка;История;Математика;---;Родная русская литература;Экономика эк./Биология ест. (каб. 28);Физическая культура;---;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;Французский язык 1 гр. (каб. 21)/Французский язык 2 гр.;Музыка;Французский язык 1 гр. (каб. 21)/Французский язык 2 гр.;Физическая культура;Математика;---;Математика;Математика;История;---;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;Математика;Французский язык эк. (каб. 21)/Французский язык ест.;ИЗО;Математика;История;---;Информатика 1 гр./;Право эк./;География;---;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;Математика;ИЗО;;;География;---;Информатика 1 гр./;;Биология;География эк./;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;Музыка;;;;Биология эк./;История;Английский язык 1 гр./;;Обществознание;География эк./Биология ест. (каб. 26);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;Физическая культура;;;;Экономика эк./Биология ест. (каб. 26);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Экономика эк./География ест. (каб. 26);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
